time,tl1,tl2,sc,reward
0,0.15,0.5,13.722046488822098,-4.74725056857829
1,0.5,0.5,13.125241390430336,-4.435060218183347
2,0.15,0.85,13.292616216919377,-4.738298252881166
3,0.15,0.15,14.832236288266472,-5.411249276770802
4,0.5,0.15,13.63099606850569,-5.220303461919598
5,0.5,0.15,13.532285951835862,-5.341696962019198
6,0.85,0.5,12.55340305247166,-4.5108133946534466
7,0.85,0.85,12.238402509282096,-3.797646002169942
8,0.85,0.85,12.140065501214906,-3.5168883799388224
9,0.5,0.5,13.015106809547566,-4.171264814871326
10,0.5,0.5,12.993673433028466,-4.336136941941339
11,0.85,0.15,13.246488920894638,-4.6568100722254915
12,0.85,0.5,12.661442156953711,-4.552443877082511
13,0.15,0.15,14.379459690527094,-5.376394249488953
14,0.15,0.15,14.264345803642,-5.492577673761782
15,0.85,0.5,12.63645966479288,-4.382506293959601
16,0.85,0.85,12.288859419644938,-3.9146283447662418
17,0.5,0.85,12.566493617405872,-3.892283776817183
18,0.5,0.5,13.108424433469196,-4.204239240285329
19,0.5,0.5,12.992684200266046,-4.418573005476345
20,0.5,0.85,12.580709223835557,-4.150113462414292
21,0.85,0.15,13.736163734002744,-4.28118830659978
22,0.85,0.85,12.682356747781986,-4.19538596699736
23,0.85,0.85,12.13992442284626,-3.5402848484580822
24,0.15,0.5,13.684834790641109,-4.7026253434105065
25,0.15,0.5,13.537837400478182,-5.042113812436817
26,0.85,0.5,12.891730725301425,-4.14145740539923
27,0.15,0.15,14.417988457752571,-5.5041960161890655
28,0.5,0.5,13.000268318111267,-4.484521856304351
29,0.5,0.15,13.610216701498963,-4.9673534657110405
30,0.5,0.15,13.518200755403601,-5.238692914712111
31,0.85,0.85,12.313301433975411,-4.101800092920321
32,0.5,0.15,13.668230116655302,-4.747218111251793
33,0.85,0.85,12.290661356871697,-4.031610687362541
34,0.85,0.85,12.139664116162034,-3.587077785496602
35,0.15,0.85,13.254628731085823,-4.435102864118952
36,0.15,0.85,12.886113575513615,-5.093719223281504
37,0.85,0.85,12.490903179339917,-3.891231876246982
38,0.5,0.15,13.604130152617905,-4.862000284650858
39,0.15,0.85,13.723330694455381,-4.573084920264098
40,0.5,0.85,12.658573953262147,-4.256770895791681
41,0.5,0.5,13.06324947065201,-4.336136941941339
